"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"울산광역시","경찰공무원 1인당 담당주민수 (명)",524.9,501.3,489.3,480.5,470.1,464.0,425.8,403.7,399.7,394.3,386.4
"울산광역시","자연재해위험 개선지구 지정현황 (개소)",-,21,22,23,23,25,26,28,31,32,36
"울산광역시","자연재해 피해현황 (천원)",-,-,-,-,-,-,10345840,2457802,6931859,1728018,40825
"울산광역시","화재발생건수 (건)",890,874,928,959,887,737,910,802,923,794,708
"울산광역시","개발제한구역 (km²)",269,269,269,269,269,269,269,269,269,269,267
"울산광역시","도시가스 보급률 (%)",89.2,90.7,91.8,93.2,93.9,95.0,95.9,96.2,96.9,97.2,98.4
"울산광역시","최종에너지소비량 (1,000 toe)",25321,23686,26946,27988,29905,28616,28684,29928,30020,30192,30783
"울산광역시","상수도보급률 (%)",98.0,98.1,98.2,98.3,98.5,98.7,98.8,98.8,99.4,99.3,99.0
"울산광역시","하수도보급률 (%)",98.1,98.8,99.0,99.0,99.0,99.0,99.3,99.3,99.2,99.2,99.4
"울산광역시","전력판매량 (MWh)",30115123,30286140,32095217,31609850,33748169,34138999,33157834,33593123,32919181,31826127,31919081
"울산광역시","기온 (℃)",14.7,15.0,14.8,14.5,14.3,14.9,14.6,14.9,14.7,15.0,15.6
"울산광역시","강수량 (㎜)",1398.7,1044.6,1693.9,671.4,1416.1,1450.1,1557.9,1337.0,926.1,1642.9,1298.0
"울산광역시","논경지면적 (헥타르)",6508,6125,5926,5636,5485,5281,5238,4424,4268,4076,4012
"울산광역시","인구십만명당 자살률 (십만명당)",25.4,24.3,23.5,24.4,27.1,28.2,26.4,28.5,26.3,32.7,29.2
"울산광역시","사회복지시설 종사자 수 (명)",-,10015,11475,10475,11012,11096,11642,12418,13301,-,-
"울산광역시","사회복지 전담공무원 현황 (명)",267.0,274.0,299.0,322.0,346.5,374.0,357.0,432.0,437.0,485.0,477.0
"울산광역시","등록장애인수 (명)",-,-,-,-,-,51013,51112,51297,51306,51210,51055
"울산광역시","국민기초생활보장 수급자수 (명)",15363,21375,18776,18821,22939,26594,33232,38575,41510,43817,46345
"울산광역시","지방자치단체공무원 현원 (명)",5609,5816,5921,6065,6409,6684,5644,5846,5989,6124,6145
